order_id,risk_score,risk_band,top_3_risk_reasons,recommended_action,evidence_fields
O000003485,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=8
O000003524,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.04; payment_failures=0; device_reuse=15; total_qty=8
O000003382,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=8
O000003335,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=9
O000000475,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=15; total_qty=8
O000003990,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000001341,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.03; payment_failures=0; device_reuse=11; total_qty=5
O000002857,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=1
O000002833,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000002912,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=10
O000002820,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=7
O000002278,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000002909,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=7
O000000915,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=3
O000004225,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=2
O000001063,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.07; payment_failures=0; device_reuse=15; total_qty=5
O000001044,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=4
O000001337,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=8
O000002732,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.03; payment_failures=0; device_reuse=1; total_qty=9
O000004624,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=7
O000002891,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=10; total_qty=5
O000001272,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000001292,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.02; payment_failures=0; device_reuse=1; total_qty=7
O000002870,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=6
O000000992,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000001005,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000002302,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=3
O000002311,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000000136,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=6
O000001144,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.2; payment_failures=0; device_reuse=15; total_qty=5
O000002822,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=2
O000001199,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.02; payment_failures=0; device_reuse=1; total_qty=6
O000002605,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=4
O000001235,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000000135,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=10
O000001226,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000001114,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=8
O000004353,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=5
O000004352,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=5
O000004010,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=2
O000004018,20,High,"Late night order, Device reused across users",Hold for manual review,discount_pct=0.02; payment_failures=0; device_reuse=11; total_qty=7
O000003860,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000003877,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000003925,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000001705,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=10
O000004602,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=3
O000001828,20,High,"Late night order, Order value anomaly",Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=6
O000000040,15,High,Device reused across users,Hold for manual review,discount_pct=0.06; payment_failures=0; device_reuse=11; total_qty=1
O000001699,15,High,High discount usage,Hold for manual review,discount_pct=0.37; payment_failures=0; device_reuse=1; total_qty=4
O000004591,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=6
O000000017,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000001729,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=11; total_qty=5
O000001691,15,High,Order value anomaly,Hold for manual review,discount_pct=0.03; payment_failures=0; device_reuse=1; total_qty=8
O000001709,15,High,Order value anomaly,Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=0; total_qty=5
O000000394,15,High,"Late night order, Multiple coupon usage",Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=10
O000000377,15,High,"Late night order, Multiple coupon usage",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=3
O000003941,15,High,Device reused across users,Hold for manual review,discount_pct=0.02; payment_failures=0; device_reuse=14; total_qty=5
O000000057,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000004562,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=10
O000003870,15,High,"Late night order, Unusual quantity",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000003867,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000003857,15,High,Order value anomaly,Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=9
O000003815,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000003794,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=7
O000003798,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000000446,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=15; total_qty=8
O000001157,15,High,"Late night order, Multiple coupon usage",Hold for manual review,discount_pct=0.15; payment_failures=0; device_reuse=1; total_qty=3
O000001168,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000001154,15,High,Device reused across users,Hold for manual review,discount_pct=0.07; payment_failures=0; device_reuse=10; total_qty=5
O000002598,15,High,"Late night order, Multiple coupon usage",Hold for manual review,discount_pct=0.17; payment_failures=0; device_reuse=1; total_qty=4
O000002592,15,High,Order value anomaly,Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=8
O000004343,15,High,"Late night order, Unusual quantity",Hold for manual review,discount_pct=0.03; payment_failures=0; device_reuse=1; total_qty=12
O000000158,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=6
O000000171,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000002562,15,High,Device reused across users,Hold for manual review,discount_pct=0.05; payment_failures=0; device_reuse=15; total_qty=3
O000002566,15,High,Order value anomaly,Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=7
O000002560,15,High,"Late night order, Unusual quantity",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000002552,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000002532,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=2
O000001215,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=2
O000001228,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=8
O000001238,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000004340,15,High,Order value anomaly,Hold for manual review,discount_pct=0.02; payment_failures=0; device_reuse=1; total_qty=6
O000004341,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=4
O000004356,15,High,Device reused across users,Hold for manual review,discount_pct=0.07; payment_failures=0; device_reuse=11; total_qty=2
O000002708,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=11; total_qty=2
O000002690,15,High,"Late night order, Unusual quantity",Hold for manual review,discount_pct=0.08; payment_failures=0; device_reuse=1; total_qty=30
O000002681,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=10; total_qty=9
O000001138,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000001153,15,High,"Late night order, Multiple coupon usage",Hold for manual review,discount_pct=0.03; payment_failures=0; device_reuse=1; total_qty=4
O000001141,15,High,"Late night order, Multiple coupon usage",Hold for manual review,discount_pct=0.19; payment_failures=0; device_reuse=1; total_qty=1
O000001123,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=15; total_qty=7
O000001148,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=15; total_qty=5
O000001134,15,High,Device reused across users,Hold for manual review,discount_pct=0.18; payment_failures=0; device_reuse=15; total_qty=3
O000002687,15,High,Order value anomaly,Hold for manual review,discount_pct=0.03; payment_failures=0; device_reuse=0; total_qty=8
O000000186,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=15; total_qty=4
O000002618,15,High,Device reused across users,Hold for manual review,discount_pct=0.07; payment_failures=0; device_reuse=10; total_qty=6
O000001173,15,High,Device reused across users,Hold for manual review,discount_pct=0.04; payment_failures=0; device_reuse=15; total_qty=4
O000002823,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000001040,15,High,"Late night order, Multiple coupon usage",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=3
O000001052,15,High,"Late night order, Unusual quantity",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000001071,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000002747,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=2
O000000208,15,High,"Late night order, Multiple coupon usage",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=4
O000001091,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=11; total_qty=1
O000002508,15,High,"Late night order, Unusual quantity",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=16
O000002494,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=11; total_qty=2
O000002488,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=15; total_qty=6
O000002462,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000002474,15,High,Order value anomaly,Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=0; total_qty=7
O000002447,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=8
O000001274,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=15; total_qty=6
O000001266,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000001263,15,High,"Late night order, Unusual quantity",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=21
O000002410,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=6
O000004385,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000001110,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=5
O000002896,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000002895,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=8
O000000988,15,High,"Late night order, Unusual quantity",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000002872,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000000213,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000004220,15,High,Device reused across users,Hold for manual review,discount_pct=0.18; payment_failures=0; device_reuse=14; total_qty=1
O000001034,15,High,Order value anomaly,Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=8
O000001420,15,High,High discount usage,Hold for manual review,discount_pct=0.34; payment_failures=0; device_reuse=1; total_qty=5
O000002349,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000002326,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=9
O000001324,15,High,"Late night order, Unusual quantity",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000002288,15,High,"Late night order, Multiple coupon usage",Hold for manual review,discount_pct=0.01; payment_failures=0; device_reuse=1; total_qty=6
O000001338,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=0; total_qty=10
O000001367,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=15; total_qty=1
O000002279,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000002237,15,High,Device reused across users,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=14; total_qty=1
O000004443,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000000941,15,High,"Late night order, Multiple coupon usage",Hold for manual review,discount_pct=0.06; payment_failures=0; device_reuse=1; total_qty=5
O000002903,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=5
O000004223,15,High,"Late night order, Multiple coupon usage",Hold for manual review,discount_pct=0.25; payment_failures=0; device_reuse=1; total_qty=4
O000004227,15,High,"Late night order, Unusual quantity",Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=11
O000004176,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
O000000220,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=7
O000004174,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000002892,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=10
O000002878,15,High,Order value anomaly,Hold for manual review,discount_pct=0.0; payment_failures=0; device_reuse=1; total_qty=9
