session_id,session_ts,user_id,channel,device,device_id,ip_hash,pincode,promo_flag
S000000084,2025-08-03 06:21:00,U000990,paid_social,mobile,De31356a1ea,IPcfd379d20d,574621,0
S000000085,2025-08-03 06:56:06,,email,mobile,D_G_3731959fc7,IP521764a3fb,567545,0
S000000086,2025-08-03 08:40:37,U000430,organic,mobile,D52f834cf1d,IP1b361b0033,575842,0
S000000087,2025-08-03 17:43:23,U000717,search,mobile,D444039f021,IPfc7db02e11,571631,0
S000000088,2025-08-03 14:17:20,U000934,organic,web,D9207fcae2a,IP3905c686c8,578796,0
S000000089,2025-08-03 02:51:47,,organic,web,D_G_SHARED_00,IP9af792b3e4,562853,0
S000000090,2025-08-03 04:52:15,U001049,organic,web,De869d0e9b9,IP48a6737996,576422,0
S000000091,2025-08-03 02:47:26,U001847,organic,web,D4c4d06021c,IPd0454d4c74,578963,0
S000000092,2025-08-03 12:36:56,,search,mobile,D_G_83d2324ea6,IPd80f66033e,565411,0
S000000093,2025-08-03 17:18:43,U001779,organic,web,D6cfd1fdeff,IP3a3bb7b8b9,575842,0
S000000094,2025-08-03 23:56:52,U001295,organic,web,Db4beb07571,IP349fab0321,576334,0
S000000095,2025-08-03 01:53:58,U001897,paid_social,web,Dfc6561e93d,IP0abf2f4755,563967,0
S000000096,2025-08-03 09:45:34,,organic,web,D_G_ef3210204f,IP41f0f0356c,569763,0
S000000097,2025-08-03 08:24:28,U000388,referral,web,D57dd31e05e,IP598353adfe,578600,0
S000000098,2025-08-03 03:13:12,,organic,mobile,D_G_4304f8c6aa,IP207ed8e2a8,566696,0
S000000099,2025-08-03 04:13:57,,search,mobile,D_G_3e7c8f2082,IP752b14c1a9,562918,0
S000000100,2025-08-03 02:44:06,U000098,organic,mobile,Db6c1e40b09,IPbdccb70688,577522,0
S000000101,2025-08-03 23:17:32,U001800,search,mobile,D2c07250792,IPc03c53eaa2,569190,0
S000000102,2025-08-03 19:48:01,U002960,email,mobile,D8deb706dd0,IP219bf8ae91,563966,0
S000000103,2025-08-03 23:30:16,U000125,paid_social,mobile,D_RING_04,IP_RING_SHAR,565285,0
S000000104,2025-08-03 21:22:23,U002662,email,web,Db4afefa832,IP03bc89aa28,572769,0
S000000105,2025-08-03 22:31:26,,search,web,D_G_df5f5bce8c,IP89e9daa3d7,563108,0
S000000106,2025-08-03 04:29:20,U002174,organic,web,Df5391ed196,IP0c2d9d30c4,578018,0
S000000107,2025-08-03 04:36:26,U000893,organic,web,D43510bc676,IP045220f9e1,568518,0
S000000108,2025-08-03 01:27:56,U001909,organic,web,Dbd0cf46bc9,IPd3db3ff0b2,574360,0
S000000109,2025-08-03 13:00:14,U002234,paid_social,mobile,Dc32805395c,IPfc68c7a739,572398,0
S000000110,2025-08-03 09:52:38,U003191,search,mobile,D1057a6be3c,IP58d0c87f51,577965,0
S000000111,2025-08-03 17:29:09,U000766,paid_social,web,Dcc2b2fffaf,IP0e4232d449,571541,0
S000000112,2025-08-03 01:28:38,U000544,organic,mobile,D512dbaaca8,IPbffde517b8,572276,0
S000000113,2025-08-03 13:41:47,U001800,search,web,D2c07250792,IP374a409651,569190,0
S000000114,2025-08-03 18:51:24,U002882,search,web,D66c5d3673e,IPc2493ae725,577626,0
S000000115,2025-08-03 11:05:16,U001584,search,mobile,D60208c8cd1,IPdc272a40f9,568518,0
S000000116,2025-08-03 21:48:23,U001330,search,mobile,D1494a4214c,IPda8d362893,572398,0
S000000117,2025-08-03 03:10:37,U001557,organic,web,D8808d02c71,IPeb4712971b,577899,0
S000000118,2025-08-03 15:22:11,U003135,search,web,Dc24322e580,IPdb584c1b0d,563967,0
S000000119,2025-08-03 06:35:48,U000418,search,web,Dde547f5a4b,IP88749315e3,579609,0
S000000120,2025-08-03 21:25:48,U001517,search,web,Da7a372a586,IP1a3082728f,565894,0
S000000121,2025-08-03 21:13:12,,email,mobile,D_G_b214f54dc0,IPadb093ea26,569874,0
S000000122,2025-08-03 10:54:44,U002673,paid_social,mobile,D8ff2235598,IP8a1a6ce016,571561,0
S000000123,2025-08-03 06:55:54,U002649,organic,mobile,Dd9941f930d,IP97a7fdda52,573709,0
S000000124,2025-08-03 08:18:08,U001265,email,mobile,Df950417478,IP96cd2c60c0,572276,0
S000000125,2025-08-03 13:51:48,U002872,paid_social,mobile,Dcf804a43b6,IP198e851207,574081,0
S000000126,2025-08-03 04:15:34,U000926,paid_social,web,Da9f7947429,IPb96df1413e,575139,0
S000000127,2025-08-03 02:27:57,U001893,organic,mobile,D6a7e701c22,IP0f4b624428,574081,0
S000000128,2025-08-03 13:07:07,U000393,search,web,D7d0c32e138,IPc042269d2a,569539,0
S000000129,2025-08-03 15:29:20,U001316,organic,web,D_RING_05,IP_RING_SHAR,565894,0
S000000130,2025-08-03 12:25:43,U001728,search,web,Ddae581c432,IPfcc2357e96,578418,0
S000000131,2025-08-03 13:20:34,U003138,paid_social,mobile,D3e31ff8f18,IP463f288e97,575842,0
S000000132,2025-08-03 07:55:04,,paid_social,web,D_G_e5c0a9ca2f,IP9ae545491f,569874,0
S000000133,2025-08-03 03:18:01,U001381,organic,mobile,D8048cbe002,IP5b0a45edd3,568518,0
S000000134,2025-08-03 15:14:15,U000736,organic,web,Db3c56ccea4,IP9a2d825daa,579884,0
S000000135,2025-08-03 20:14:39,,email,mobile,D_G_SHARED_00,IPe742037fb0,566798,0
S000000136,2025-08-03 04:27:28,U003040,email,mobile,D0a158208f8,IP3b7b53b605,578600,0
S000000137,2025-08-03 16:37:01,U002435,organic,web,D8331820412,IP396d8b38d5,563967,0
S000000138,2025-08-03 04:15:42,U000600,referral,mobile,D4e5bc83cda,IP7d0c2956f2,563967,0
S000000139,2025-08-03 15:47:56,,organic,web,D_G_fed1285a5c,IP219b778f63,562853,0
S000000140,2025-08-03 23:47:52,U003154,paid_social,mobile,Dd8183f25e0,IP805c6bf48d,578600,0
S000000141,2025-08-03 08:15:19,U002282,paid_social,web,D2e55f5813a,IP92ec72d1f8,572398,0
S000000142,2025-08-03 00:19:06,U000049,organic,web,D7a917b75a2,IP3d2bf75f45,565285,0
S000000143,2025-08-03 01:40:30,U000245,search,web,Deadd9bda57,IP32b76f2fa7,572901,0
S000000144,2025-08-03 18:11:54,,paid_social,web,D_G_ac5072702f,IP685ad435de,562975,0
S000000145,2025-08-03 03:52:55,,organic,mobile,D_G_8e85a4f72b,IPc09c15a589,562975,0
S000000146,2025-08-03 19:40:17,U001559,organic,web,D65d254819e,IP26ad181c20,572495,0
S000000147,2025-08-03 05:16:33,U001056,organic,web,Dad7f428049,IPef13af68bb,579501,0
S000000148,2025-08-03 06:12:12,U002458,organic,mobile,D40d396e24e,IP6452daacb1,573709,0
S000000149,2025-08-03 19:40:28,,paid_social,web,D_G_ef3feea6fe,IP7fe02ccd1f,562918,0
S000000150,2025-08-03 12:34:11,U000266,search,mobile,Dc76a2a7266,IPb40032c16a,572901,0
S000000151,2025-08-03 01:24:28,,paid_social,mobile,D_G_dbb3a80031,IP8870898bb1,566546,0
S000000152,2025-08-03 01:31:43,,search,mobile,D_G_108a1d7f00,IP1b18294e7f,568284,0
S000000153,2025-08-03 04:03:48,U000698,paid_social,web,D9487b82ccf,IP45b295f1a4,577899,0
S000000154,2025-08-03 00:41:13,U001798,search,mobile,Dc20ef0973a,IPf06db401aa,575614,0
S000000155,2025-08-03 02:59:40,U000929,referral,web,D7af1ed58ea,IPe7db58d77b,572788,0
S000000156,2025-08-03 04:15:19,U002291,organic,mobile,Dfd55d944d6,IP5ad57ec07d,569539,0
S000000157,2025-08-03 17:22:53,,organic,mobile,D_G_d131cfeac7,IP03c86c3859,564231,0
S000000158,2025-08-03 00:20:47,U000508,email,web,D14e8a6f1a1,IP83958f21ed,568518,0
S000000159,2025-08-03 02:00:27,U000906,email,mobile,D03e3b3f171,IP4f925f20e0,572769,0
S000000160,2025-08-03 16:45:44,U000512,organic,web,D0a86a2a882,IPc7a54b3f70,568518,0
S000000161,2025-08-03 15:13:40,U002151,paid_social,,De2be54c5a7,IPdab44b9903,578896,0
S000000162,2025-08-03 20:23:16,U000293,paid_social,web,De695a97e88,IP8c7203ae72,569539,0
S000000163,2025-08-03 01:50:24,U003185,organic,mobile,De5d0f88d6b,IPa6803d97b5,575674,0
S000000164,2025-08-03 10:44:38,U002385,search,web,D8794f6e350,IP20b404bb84,569539,0
S000000165,2025-08-03 01:44:22,U003065,paid_social,web,D9452468e33,IPa530e2a343,576088,0
S000000166,2025-08-03 08:08:22,U001782,email,web,Dd04a98f771,IP3ba018d3ea,563967,0
S000000167,2025-08-03 22:54:58,,paid_social,mobile,D_G_3a7cc5d55c,IP0da8a80e40,561585,0
S000000168,2025-08-03 17:03:26,U002051,organic,mobile,D6c8f3b0e58,IP0190a79c65,569190,0
S000000169,2025-08-03 04:41:25,U001757,organic,web,Dffcf9e13a4,IP57ae4b0b55,575439,0
S000000170,2025-08-03 02:24:20,U000648,organic,mobile,D642660bdd4,IPeeb1603cce,572901,0
S000000171,2025-08-03 11:43:25,U002662,organic,mobile,Db4afefa832,IP461f5c4e5c,572769,0
S000000172,2025-08-03 14:10:28,,paid_social,web,D_G_8d32388351,IP8bf194a467,561909,0
S000000173,2025-08-03 07:38:30,U001708,search,mobile,Db650075f5c,IPc88ef1dff7,575618,0
S000000174,2025-08-03 01:53:38,U002156,paid_social,mobile,Db19d49494a,IPefa4ba1a37,565894,0
S000000175,2025-08-03 16:07:58,U003153,search,mobile,Dd82590ac7e,IP7b0ab67074,579260,0
S000000176,2025-08-03 07:54:21,,search,mobile,D_G_b8427605ed,IP2c90e6b677,563911,0
S000000177,2025-08-03 18:46:35,,referral,mobile,D_G_7a2f5b9fb8,IP8827e71a2f,567667,0
S000000178,2025-08-03 18:26:10,U002555,organic,web,D555df19996,IP4d10916e3a,579609,0
S000000179,2025-08-03 12:20:51,U003177,organic,mobile,D567b50fb31,IP10b235b3e6,565894,0
S000000180,2025-08-03 14:31:50,U002143,paid_social,mobile,D14e5b83c5f,IP945e039282,579884,0
S000000181,2025-08-03 00:26:11,U000679,email,mobile,D5d7067b53a,IP3b795f17d1,574441,0
S000000182,2025-08-03 06:16:14,U000138,search,web,Dccf2a6af33,IP1b139bdd30,569539,0
S000000183,2025-08-03 03:24:26,U000860,paid_social,mobile,D9bca1632d0,IP50ff8dfcd8,575438,0
S000000184,2025-08-03 07:37:43,U002508,search,mobile,D2f44e18126,IPa9cd423c5b,568375,0
S000000185,2025-08-03 22:24:25,U001373,search,mobile,Dcc686be07f,IP64a07cd2bf,576074,0
S000000186,2025-08-03 06:34:42,,paid_social,mobile,D_G_7af0f6747a,IP74a83fb11e,568619,0
S000000187,2025-08-03 13:31:45,U001748,paid_social,web,D293fbe52b6,IPdeb1c96baa,563967,0
S000000188,2025-08-03 06:05:13,U002052,search,web,Dc9b476352f,IP1083d59e21,578418,0
S000000189,2025-08-03 05:28:03,U002054,referral,web,D331711c8af,IPefd1d0f3f2,563967,0
S000000190,2025-08-03 13:00:20,U002523,search,mobile,D6f126a560f,IP092df4bbb0,563966,0
S000000191,2025-08-03 06:06:52,,paid_social,mobile,D_G_72edd73a65,IPe08731f513,564350,0
S000000192,2025-08-03 04:07:23,U002186,organic,mobile,D7659fbc252,IPd3228fe4f4,576422,0
S000000193,2025-08-03 16:55:06,U002779,referral,mobile,D5ee596e3fd,IP286997d3d2,579266,0
S000000194,2025-08-03 13:35:43,U002234,email,mobile,Dc32805395c,IPb2006d616f,572398,0
S000000195,2025-08-03 01:29:01,U001242,organic,mobile,Da3bb7f6763,IP6dfc2651fb,565894,0
S000000196,2025-08-03 01:07:43,U002084,paid_social,mobile,Dbdccface80,IP958d35b473,572398,0
S000000197,2025-08-03 19:07:10,U001985,search,mobile,D7898f2b8a2,IP41bf51b1a5,568518,0
S000000198,2025-08-03 06:32:22,U002729,organic,web,D65040e7cfd,IP0b4eafe467,572769,0
S000000199,2025-08-03 06:35:40,U000333,search,mobile,D8b962f1938,IP896daada0d,577545,0
S000000200,2025-08-03 04:37:32,U001303,search,mobile,D508c28e989,IP38250e3b8f,578796,0
S000000201,2025-08-03 22:17:58,U001580,paid_social,mobile,D12137ff5fa,IPaf864e50ea,573828,0
S000000202,2025-08-03 13:25:11,U001420,search,web,Ddaace2bec1,IP6f6ad45338,,0
S000000203,2025-08-03 10:46:58,U001904,referral,web,Dca0a151a8e,IP5100f6e5a8,575618,0
S000000204,2025-08-03 03:10:32,,search,mobile,D_G_d9f36d91e2,IPc673fe11d3,567667,0
S000000205,2025-08-03 15:56:30,,organic,mobile,D_G_e7b694a30e,IP71cfb85af4,569874,0
S000000206,2025-08-03 00:27:44,U000301,organic,web,Da78ab8b000,IP752cdaf3ab,579260,0
S000000207,2025-08-03 01:25:42,U002940,referral,mobile,D3c590ea34c,IP61a050c6de,565285,0
S000000208,2025-08-03 23:02:54,U001453,paid_social,web,Dba73d31fa6,IP0e7227ae42,577970,0
S000000209,2025-08-03 03:45:02,U000914,paid_social,web,De70b9237cc,IP229ed60a3d,571222,0
S000000210,2025-08-03 01:44:32,U001889,organic,web,Da13b29a3e9,IPe1a6616478,575699,0
S000000211,2025-08-03 10:27:13,,organic,web,D_G_224c74f621,IP52e5866272,563170,0
S000000212,2025-08-03 05:31:13,U001064,organic,web,D2044318248,IP1dfd48de52,572163,0
S000000213,2025-08-03 15:36:40,U000056,search,mobile,D256c8f3bc0,IP9f63182ea1,579266,0
S000000214,2025-08-03 14:33:33,,email,mobile,D_G_c288aac887,IPa0394f1de3,566304,0
S000000215,2025-08-03 20:35:48,U000842,paid_social,web,D32ef8844f5,IP281fec163c,572398,0
S000000216,2025-08-03 10:23:16,,paid_social,mobile,D_G_7e64b72e98,IP262d86d181,566936,0
S000000217,2025-08-03 13:15:43,,organic,mobile,D_G_eff47b81f2,IP90046b5469,565428,0
S000000218,2025-08-03 19:10:16,U000590,paid_social,web,D1c37d756fb,IPa2138b4fbc,565894,0
S000000219,2025-08-03 16:18:27,U000622,paid_social,web,D7a41c83e00,IPfbb2630ff5,576422,0
S000000220,2025-08-03 00:38:08,,search,mobile,D_G_e963476d0b,IPbf22e4ea43,562975,0
S000000221,2025-08-03 15:24:05,U001083,organic,mobile,D_RING_02,IP_RING_SHAR,563967,0
S000000222,2025-08-03 06:38:20,U000008,paid_social,mobile,D1229e43125,IP4b0092353b,572788,0
S000000223,2025-08-03 17:57:14,U002538,search,web,Deadd676005,IP96dcea7265,572398,0
S000000224,2025-08-03 03:58:29,,paid_social,mobile,D_G_6ab67492d1,IP7d29c7a01e,562214,0
S000000225,2025-08-03 18:20:39,U001289,email,mobile,Df2a41c3bf6,IPda638fd621,579260,0
S000000226,2025-08-03 05:35:40,U002409,search,web,De878c9e553,IP76a58a43b2,568375,0
S000000227,2025-08-03 04:47:05,U001389,organic,web,D725819239f,IP7c511754b4,578600,0
S000000228,2025-08-03 06:23:21,,paid_social,mobile,D_G_SHARED_00,IP902ec4cd04,568428,0
S000000229,2025-08-03 13:33:44,U001305,search,web,Dbeac9b8e23,IP9fcd950a9b,575439,0
S000000230,2025-08-03 04:47:43,U000327,organic,mobile,D48bd79ed39,IP7afde19c6d,573709,0
S000000231,2025-08-03 02:24:09,U000447,organic,mobile,D575fa71011,IP2e33ad716a,569539,0
S000000232,2025-08-03 08:27:53,U001173,paid_social,web,Db9d1d2d40c,IPc0fa4f0a05,572495,0
S000000233,2025-08-03 10:17:18,U003067,organic,web,Dca22b5df53,IPa20d04d8dd,574252,0
S000000234,2025-08-03 09:39:17,U000974,email,web,D1190add07a,IP040ea88485,565894,0
S000000235,2025-08-03 20:49:07,U001072,search,mobile,Db58d85fbe6,IP23f03b56b6,577899,0
S000000236,2025-08-03 13:31:39,,paid_social,mobile,D_G_94f6f04221,IP77950a48de,567667,0
S000000237,2025-08-03 17:42:16,U001022,paid_social,mobile,D2213c21892,IPd454b615c1,576074,0
S000000238,2025-08-03 05:12:29,U000005,search,mobile,Dec80d05f68,IPccf56c0341,573828,0
S000000239,2025-08-03 14:40:08,U002712,organic,mobile,D0184d4556d,IP2897085be9,575674,0
S000000240,2025-08-03 00:39:05,U002268,organic,mobile,D8bffc40efe,IP97af07227e,577742,0
S000000241,2025-08-03 22:06:57,U003072,search,mobile,De554626c52,IP3b36a9c3b0,565894,0
S000000242,2025-08-03 10:33:05,U001132,search,mobile,De4a4702da3,IP4269e58081,565285,0
S000000243,2025-08-03 00:06:00,U001351,search,web,D3a2d83aead,IP651057ba12,565894,0
S000000244,2025-08-03 15:29:24,,search,mobile,D_G_bd4c7eb80a,IPbee738bc3b,566798,0
S000000245,2025-08-03 12:37:36,U002121,organic,web,Da02a979547,IP36a6ba82ae,572276,0
S000000246,2025-08-03 08:57:33,U002742,search,mobile,D54feac2ce6,IP2635b7d9ee,576088,0
S000000247,2025-08-03 22:55:53,U001509,email,web,D11dc8427f3,IPe4ce482e79,572788,0
S000000248,2025-08-03 22:45:13,U002598,search,mobile,D9ed21128b3,IP4ce0368272,565285,0
S000000249,2025-08-03 01:12:13,U001330,organic,web,D1494a4214c,IP8830401ac2,572398,0
S000000250,2025-08-03 12:25:39,U002978,search,web,D1ff17e7876,IP7ac62e3bc8,563966,0
S000000251,2025-08-03 00:32:39,U002900,referral,web,Da47079d296,IPb38e763f74,565285,0
S000000252,2025-08-03 03:29:08,U000936,organic,mobile,D8ca207cc5b,IPc61ab2e088,575438,0
S000000253,2025-08-03 20:37:58,U003175,search,web,D9d3043af17,IP739dd99388,578418,0
S000000254,2025-08-03 08:59:03,U002659,paid_social,web,Dd3585b0a03,IPae4898907a,572788,0
S000000255,2025-08-03 03:41:07,U002270,referral,mobile,Df57a3a2377,IPa89af4bf8e,569190,0
S000000256,2025-08-03 00:08:46,U000266,paid_social,web,Dc76a2a7266,IP2416182a42,572901,0
S000000257,2025-08-03 22:11:50,U002074,organic,mobile,De6c19a0fca,IPed7fe432c7,572901,0
S000000258,2025-08-03 18:57:02,U000733,organic,mobile,D_RING_05,IP_RING_SHAR,565894,0
S000000259,2025-08-03 09:54:39,U002585,organic,mobile,D3daf40afc6,IP226fcf00e8,573828,0
S000000260,2025-08-03 23:33:06,U001171,search,mobile,Db68365061c,IP0b5b29d625,576088,0
S000000261,2025-08-03 00:14:28,U003110,paid_social,web,Dd1d636cd25,IPa3b656e23f,575692,0
S000000262,2025-08-03 03:13:03,U001060,paid_social,mobile,D8a519bbc60,IP96519acb2e,577934,0
S000000263,2025-08-03 05:23:12,U000901,paid_social,web,De4fa120d7d,IP75ae6e4d37,572149,0
S000000264,2025-08-03 17:05:06,,search,mobile,D_G_e360126a1f,IPef8d3c2227,569589,0
S000000265,2025-08-03 05:21:52,U000971,search,web,D2b3bc0f6f9,IP644eb0ab26,578600,0
S000000266,2025-08-03 19:17:43,U000275,organic,web,D4341b6dcab,IP3e3bc0b131,563967,0
S000000267,2025-08-03 14:35:58,U001420,organic,mobile,Ddaace2bec1,IPb845edcc15,,0
S000000268,2025-08-03 22:58:59,U000724,organic,web,D143e093067,IPfc0c7c42ac,568518,0
S000000269,2025-08-03 19:56:12,U002747,organic,mobile,Df180441153,IP1b1ae6ad09,577545,0
